Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;21-04-2021;04-05-2021;3399;622,7;48;8,8;3;0,5
14;Groningen;232874;21-04-2021;04-05-2021;824;353,8;4;1,7;1;0,4
1729;Gulpen-Wittem;14171;21-04-2021;04-05-2021;53;374;0;0;0;0
158;Haaksbergen;24311;21-04-2021;04-05-2021;102;419,6;0;0;0;0
392;Haarlem;162902;21-04-2021;04-05-2021;732;449,3;8;4,9;1;0,6
394;Haarlemmermeer;156002;21-04-2021;04-05-2021;785;503,2;2;1,3;1;0,6
1655;Halderberge;30284;21-04-2021;04-05-2021;209;690,1;0;0;0;0
160;Hardenberg;60948;21-04-2021;04-05-2021;297;487,3;0;0;0;0
243;Harderwijk;48414;21-04-2021;04-05-2021;266;549,4;1;2,1;2;4,1
523;Hardinxveld-Giessendam;18295;21-04-2021;04-05-2021;156;852,7;0;0;2;10,9
72;Harlingen;15722;21-04-2021;04-05-2021;75;477;1;6,4;0;0
244;Hattem;12209;21-04-2021;04-05-2021;60;491,4;0;0;0;0
396;Heemskerk;39182;21-04-2021;04-05-2021;179;456,8;1;2,6;0;0
397;Heemstede;27234;21-04-2021;04-05-2021;97;356,2;1;3,7;1;3,7
246;Heerde;18589;21-04-2021;04-05-2021;53;285,1;0;0;0;0
74;Heerenveen;50493;21-04-2021;04-05-2021;208;411,9;1;2;2;4
398;Heerhugowaard;57587;21-04-2021;04-05-2021;311;540,1;0;0;0;0
917;Heerlen;87086;21-04-2021;04-05-2021;613;703,9;4;4,6;1;1,1
1658;Heeze-Leende;16152;21-04-2021;04-05-2021;64;396,2;0;0;0;0
399;Heiloo;23968;21-04-2021;04-05-2021;124;517,4;0;0;0;0
163;Hellendoorn;35916;21-04-2021;04-05-2021;170;473,3;1;2,8;1;2,8
530;Hellevoetsluis;40142;21-04-2021;04-05-2021;267;665,1;3;7,5;0;0
794;Helmond;92423;21-04-2021;04-05-2021;755;816,9;3;3,2;0;0
531;Hendrik-Ido-Ambacht;31202;21-04-2021;04-05-2021;219;701,9;0;0;0;0
164;Hengelo (O.);81140;21-04-2021;04-05-2021;312;384,5;1;1,2;0;0
796;'s-Hertogenbosch;155111;21-04-2021;04-05-2021;1305;841,3;7;4,5;4;2,6
1966;Het Hogeland;47801;21-04-2021;04-05-2021;177;370,3;1;2,1;0;0
252;Heumen;16454;21-04-2021;04-05-2021;89;540,9;1;6,1;0;0
797;Heusden;44692;21-04-2021;04-05-2021;442;989;3;6,7;2;4,5
534;Hillegom;22209;21-04-2021;04-05-2021;87;391,7;0;0;0;0
798;Hilvarenbeek;15518;21-04-2021;04-05-2021;74;476,9;0;0;0;0
402;Hilversum;90831;21-04-2021;04-05-2021;426;469;2;2,2;4;4,4
1963;Hoeksche Waard;87401;21-04-2021;04-05-2021;459;525,2;1;1,1;1;1,1
1735;Hof van Twente;35017;21-04-2021;04-05-2021;220;628,3;0;0;0;0
1911;Hollands Kroon;48432;21-04-2021;04-05-2021;214;441,9;1;2,1;1;2,1
118;Hoogeveen;55699;21-04-2021;04-05-2021;220;395;1;1,8;0;0
405;Hoorn;73261;21-04-2021;04-05-2021;210;286,6;1;1,4;0;0
1507;Horst aan de Maas;42429;21-04-2021;04-05-2021;351;827,3;0;0;3;7,1
321;Houten;50146;21-04-2021;04-05-2021;333;664,1;3;6;0;0
406;Huizen;41273;21-04-2021;04-05-2021;157;380,4;0;0;0;0
677;Hulst;27556;21-04-2021;04-05-2021;138;500,8;2;7,3;0;0
353;IJsselstein;34109;21-04-2021;04-05-2021;277;812,1;3;8,8;0;0
1884;Kaag en Braassem;27297;21-04-2021;04-05-2021;99;362,7;1;3,7;0;0
166;Kampen;54319;21-04-2021;04-05-2021;250;460,2;0;0;0;0
678;Kapelle;12695;21-04-2021;04-05-2021;111;874,4;1;7,9;0;0
537;Katwijk;65753;21-04-2021;04-05-2021;432;657;1;1,5;1;1,5
928;Kerkrade;45749;21-04-2021;04-05-2021;343;749,7;4;8,7;0;0
1598;Koggenland;22749;21-04-2021;04-05-2021;95;417,6;0;0;0;0
542;Krimpen aan den IJssel;29526;21-04-2021;04-05-2021;175;592,7;0;0;0;0
1931;Krimpenerwaard;56319;21-04-2021;04-05-2021;417;740,4;2;3,6;0;0
1659;Laarbeek;22523;21-04-2021;04-05-2021;167;741,5;1;4,4;0;0
1685;Landerd;15730;21-04-2021;04-05-2021;110;699,3;0;0;1;6,4
882;Landgraaf;37445;21-04-2021;04-05-2021;310;827,9;3;8;2;5,3
415;Landsmeer;11491;21-04-2021;04-05-2021;49;426,4;0;0;0;0
416;Langedijk;28163;21-04-2021;04-05-2021;125;443,8;1;3,6;0;0
1621;Lansingerland;62384;21-04-2021;04-05-2021;347;556,2;1;1,6;0;0
417;Laren;11280;21-04-2021;04-05-2021;41;363,5;0;0;0;0
80;Leeuwarden;124084;21-04-2021;04-05-2021;401;323,2;1;0,8;2;1,6
546;Leiden;125099;21-04-2021;04-05-2021;695;555,6;2;1,6;1;0,8
547;Leiderdorp;27056;21-04-2021;04-05-2021;100;369,6;2;7,4;0;0
1916;Leidschendam-Voorburg;76534;21-04-2021;04-05-2021;374;488,7;6;7,8;0;0
995;Lelystad;78598;21-04-2021;04-05-2021;327;416;1;1,3;0;0
1640;Leudal;35879;21-04-2021;04-05-2021;231;643,8;1;2,8;3;8,4
327;Leusden;30401;21-04-2021;04-05-2021;126;414,5;1;3,3;0;0
1705;Lingewaard;46601;21-04-2021;04-05-2021;271;581,5;0;0;1;2,1
553;Lisse;22955;21-04-2021;04-05-2021;104;453,1;1;4,4;0;0
262;Lochem;33729;21-04-2021;04-05-2021;160;474,4;1;3;0;0
809;Loon op Zand;23408;21-04-2021;04-05-2021;190;811,7;2;8,5;0;0
331;Lopik;14467;21-04-2021;04-05-2021;79;546,1;0;0;0;0
168;Losser;22683;21-04-2021;04-05-2021;104;458,5;1;4,4;0;0
263;Maasdriel;25030;21-04-2021;04-05-2021;282;1126,6;1;4;0;0
1641;Maasgouw;23965;21-04-2021;04-05-2021;153;638,4;1;4,2;2;8,3
556;Maassluis;33213;21-04-2021;04-05-2021;192;578,1;3;9;1;3
