Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage (gemeente);545838;05-08-2020;18-08-2020;591;108,3;16;2,9;6;1,1
796;'s-Hertogenbosch;155111;05-08-2020;18-08-2020;62;40;0;0;0;0
1680;Aa en Hunze;25445;05-08-2020;18-08-2020;0;0;0;0;0;0
358;Aalsmeer;31859;05-08-2020;18-08-2020;6;18,8;0;0;0;0
197;Aalten;27121;05-08-2020;18-08-2020;2;7,4;0;0;0;0
59;Achtkarspelen;27843;05-08-2020;18-08-2020;3;10,8;0;0;0;0
482;Alblasserdam;20165;05-08-2020;18-08-2020;4;19,8;0;0;0;0
613;Albrandswaard;25590;05-08-2020;18-08-2020;12;46,9;0;0;0;0
361;Alkmaar;109436;05-08-2020;18-08-2020;24;21,9;0;0;0;0
141;Almelo;73107;05-08-2020;18-08-2020;3;4,1;0;0;0;0
34;Almere;211893;05-08-2020;18-08-2020;115;54,3;3;1,4;1;0,5
484;Alphen aan den Rijn;111897;05-08-2020;18-08-2020;28;25;2;1,8;0;0
1723;Alphen-Chaam;10203;05-08-2020;18-08-2020;3;29,4;0;0;0;0
1959;Altena;55967;05-08-2020;18-08-2020;13;23,2;0;0;0;0
60;Ameland;3716;05-08-2020;18-08-2020;0;0;0;0;0;0
307;Amersfoort;157276;05-08-2020;18-08-2020;51;32,4;3;1,9;0;0
362;Amstelveen;91675;05-08-2020;18-08-2020;56;61,1;1;1,1;0;0
363;Amsterdam;872757;05-08-2020;18-08-2020;1471;168,5;15;1,7;7;0,8
200;Apeldoorn;163818;05-08-2020;18-08-2020;23;14;0;0;0;0
3;Appingedam;11642;05-08-2020;18-08-2020;1;8,6;0;0;0;0
202;Arnhem;161348;05-08-2020;18-08-2020;41;25,4;1;0,6;0;0
106;Assen;68599;05-08-2020;18-08-2020;3;4,4;0;0;0;0
743;Asten;16721;05-08-2020;18-08-2020;0;0;0;0;0;0
